Participación Ciudadana Elecciones Generales 2021 -undefined

"Ubigeo: Departamento: LIMA - Provincia: LIMA"
""
""
"ACTUALIZADO EL 12/04/2021 A LAS 07:15 h"
""
""
" ","PARTICIPACIÓN"," ","AUSENTISMO"," "
"DISTRITO","TOTAL ASISTENTES","% TOTAL ASISTENTES","TOTAL AUSENTES","% TOTAL AUSENTES","ELECTORES HÁBILES"
"ANCON","23,319","77.516","6,764","22.484","30,083"
"ATE","253,406","75.307","83,093","24.693","336,499"
"BARRANCO","29,599","70.983","12,100","29.017","41,699"
"BREÑA","36,724","69.211","16,337","30.789","53,061"
"CARABAYLLO","130,608","78.083","36,661","21.917","167,269"
"CHACLACAYO","20,257","75.679","6,510","24.321","26,767"
"CHORRILLOS","150,674","75.893","47,860","24.107","198,534"
"CIENEGUILLA","463","77.167","137","22.833","600"
"COMAS","225,852","78.914","60,348","21.086","286,200"
"EL AGUSTINO","75,211","78.360","20,770","21.640","95,981"
"INDEPENDENCIA","73,768","78.812","19,832","21.188","93,600"
"JESUS MARIA","47,542","68.431","21,932","31.569","69,474"
"LA MOLINA","59,972","69.213","26,677","30.787","86,649"
"LA VICTORIA","87,040","71.664","34,415","28.336","121,455"
"LIMA","140,828","72.785","52,657","27.215","193,485"
"LINCE","28,615","65.511","15,065","34.489","43,680"
"LOS OLIVOS","185,916","77.258","54,728","22.742","240,644"
"LURIGANCHO","65,489","75.109","21,703","24.891","87,192"
"LURIN","45,881","77.922","13,000","22.078","58,881"
"MAGDALENA DEL MAR","39,228","69.413","17,286","30.587","56,514"
"MIRAFLORES","72,926","61.568","45,521","38.432","118,447"
"PACHACAMAC","38,659","75.900","12,275","24.100","50,934"
"PUCUSANA","3,607","77.737","1,033","22.263","4,640"
"PUEBLO LIBRE","53,546","69.725","23,250","30.275","76,796"
"PUENTE PIEDRA","156,512","77.876","44,464","22.124","200,976"
"PUNTA HERMOSA","2,667","76.200","833","23.800","3,500"
"PUNTA NEGRA","4,242","73.544","1,526","26.456","5,768"
"RIMAC","78,276","73.932","27,599","26.068","105,875"
"SAN BARTOLO","5,181","77.041","1,544","22.959","6,725"
"SAN BORJA","61,335","65.235","32,687","34.765","94,022"
"SAN ISIDRO","33,799","61.169","21,456","38.831","55,255"
"SAN JUAN DE LURIGANCHO","563,063","77.812","160,554","22.188","723,617"
"SAN JUAN DE MIRAFLORES","158,357","76.998","47,307","23.002","205,664"
"SAN LUIS","39,044","73.035","14,415","26.965","53,459"
"SAN MARTIN DE PORRES","265,506","75.544","85,952","24.456","351,458"
"SAN MIGUEL","84,132","70.495","35,212","29.505","119,344"
"SANTA ANITA","94,072","78.003","26,528","21.997","120,600"
"SANTA MARIA DEL MAR","202","80.800","48","19.200","250"
"SANTA ROSA","10,573","76.328","3,279","23.672","13,852"
"SANTIAGO DE SURCO","125,534","65.752","65,387","34.248","190,921"
"SURQUILLO","54,789","70.305","23,142","29.695","77,931"
"VILLA EL SALVADOR","193,841","80.101","48,154","19.899","241,995"
"VILLA MARIA DEL TRIUNFO","192,739","76.993","57,593","23.007","250,332"
