Participación Ciudadana Elecciones Generales 2021 -undefined

"Ubigeo: TODOS"
""
""
"ACTUALIZADO EL 12/04/2021 A LAS 09:15 h"
""
""
" ","PARTICIPACIÓN"," ","AUSENTISMO"," "
"DEPARTAMENTO","TOTAL ASISTENTES","% TOTAL ASISTENTES","TOTAL AUSENTES","% TOTAL AUSENTES","ELECTORES HÁBILES"
"AMAZONAS","90,711","65.918","46,900","34.082","137,611"
"ANCASH","420,237","70.281","177,699","29.719","597,936"
"APURIMAC","123,285","71.009","50,334","28.991","173,619"
"AREQUIPA","659,589","79.551","169,553","20.449","829,142"
"AYACUCHO","166,345","73.871","58,838","26.129","225,183"
"CAJAMARCA","406,911","66.878","201,524","33.122","608,435"
"CALLAO","438,111","75.641","141,089","24.359","579,200"
"CUSCO","409,684","76.715","124,352","23.285","534,036"
"HUANCAVELICA","96,850","70.572","40,386","29.428","137,236"
"HUANUCO","226,084","70.443","94,861","29.557","320,945"
"ICA","135,554","77.063","40,347","22.937","175,901"
"JUNIN","366,490","73.338","133,240","26.662","499,730"
"LA LIBERTAD","555,996","70.167","236,393","29.833","792,389"
"LAMBAYEQUE","399,575","71.991","155,463","28.009","555,038"
"LIMA","4,977,115","74.716","1,684,259","25.284","6,661,374"
"LORETO","218,497","67.475","105,322","32.525","323,819"
"MADRE DE DIOS","37,076","72.597","13,995","27.403","51,071"
"MOQUEGUA","43,307","78.326","11,984","21.674","55,291"
"PASCO","74,703","66.839","37,062","33.161","111,765"
"PIURA","519,348","70.134","221,161","29.866","740,509"
"PUNO","411,799","83.370","82,140","16.630","493,939"
"SAN MARTIN","278,909","69.803","120,657","30.197","399,566"
"TACNA","207,933","77.706","59,655","22.294","267,588"
"TUMBES","96,009","74.132","33,501","25.868","129,510"
"UCAYALI","86,671","66.757","43,159","33.243","129,830"
