Participación Ciudadana Elecciones Generales 2021 -undefined

"Ubigeo: Departamento: LIMA"
""
""
"ACTUALIZADO EL 12/04/2021 A LAS 16:44 h"
""
""
" ","PARTICIPACIÓN"," ","AUSENTISMO"," "
"PROVINCIA","TOTAL ASISTENTES","% TOTAL ASISTENTES","TOTAL AUSENTES","% TOTAL AUSENTES","ELECTORES HÁBILES"
"BARRANCA","75,652","70.079","32,301","29.921","107,953"
"CAJATAMBO","3,060","54.448","2,560","45.552","5,620"
"CANTA","7,941","72.047","3,081","27.953","11,022"
"CAÑETE","134,029","76.613","40,915","23.387","174,944"
"HUARAL","104,894","73.007","38,782","26.993","143,676"
"HUAROCHIRI","53,516","71.500","21,332","28.500","74,848"
"HUAURA","123,001","71.771","48,379","28.229","171,380"
"LIMA","5,238,365","74.851","1,760,020","25.149","6,998,385"
"OYON","7,565","61.489","4,738","38.511","12,303"
"YAUYOS","12,371","58.703","8,703","41.297","21,074"
