Diresa/Geresa/Diris,Departamento,Provincia,Distrito,Casos
AREQUIPA,AREQUIPA,AREQUIPA,CAYMA,1
CUSCO,CUSCO,CUSCO,SAN JERONIMO,1
CUSCO,CUSCO,URUBAMBA,MACHUPICCHU,1
EL CALLAO,CALLAO,CALLAO,BELLAVISTA,3
EL CALLAO,CALLAO,CALLAO,CALLAO,13
EL CALLAO,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,3
EL CALLAO,CALLAO,CALLAO,LA PERLA,3
EL CALLAO,CALLAO,CALLAO,MI PERU,2
EL CALLAO,CALLAO,CALLAO,VENTANILLA,1
ICA,ICA,PISCO,PARACAS,1
ICA,ICA,PISCO,PISCO,2
JUNIN,JUNIN,HUANCAYO,CHILCA,1
JUNIN,JUNIN,HUANCAYO,EL TAMBO,1
LA LIBERTAD,LA LIBERTAD,TRUJILLO,EL PORVENIR,1
LA LIBERTAD,LA LIBERTAD,TRUJILLO,LA ESPERANZA,4
LA LIBERTAD,LA LIBERTAD,TRUJILLO,LAREDO,3
LA LIBERTAD,LA LIBERTAD,TRUJILLO,MOCHE,1
LA LIBERTAD,LA LIBERTAD,TRUJILLO,TRUJILLO,4
LA LIBERTAD,LA LIBERTAD,TRUJILLO,VISTA ALEGRE,1
LIMA,LIMA REGION,BARRANCA,PARAMONGA,1
LIMA,LIMA REGION,BARRANCA,SUPE,1
LIMA,LIMA REGION,HUARAL,HUARAL,3
LIMA CENTRO,LIMA METROPOLITANA,LIMA,BREÑA,8
LIMA CENTRO,LIMA METROPOLITANA,LIMA,JESUS MARIA,15
LIMA CENTRO,LIMA METROPOLITANA,LIMA,LA VICTORIA,13
LIMA CENTRO,LIMA METROPOLITANA,LIMA,LIMA,30
LIMA CENTRO,LIMA METROPOLITANA,LIMA,LINCE,12
LIMA CENTRO,LIMA METROPOLITANA,LIMA,MAGDALENA DEL MAR,2
LIMA CENTRO,LIMA METROPOLITANA,LIMA,MIRAFLORES,14
LIMA CENTRO,LIMA METROPOLITANA,LIMA,PUEBLO LIBRE,10
LIMA CENTRO,LIMA METROPOLITANA,LIMA,SAN BORJA,4
LIMA CENTRO,LIMA METROPOLITANA,LIMA,SAN ISIDRO,12
LIMA CENTRO,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,28
LIMA CENTRO,LIMA METROPOLITANA,LIMA,SAN LUIS,3
LIMA CENTRO,LIMA METROPOLITANA,LIMA,SAN MIGUEL,16
LIMA CENTRO,LIMA METROPOLITANA,LIMA,SURQUILLO,14
LIMA ESTE,LIMA METROPOLITANA,LIMA,ATE,15
LIMA ESTE,LIMA METROPOLITANA,LIMA,EL AGUSTINO,4
LIMA ESTE,LIMA METROPOLITANA,LIMA,LA MOLINA,2
LIMA ESTE,LIMA METROPOLITANA,LIMA,LURIGANCHO,3
LIMA ESTE,LIMA METROPOLITANA,LIMA,SANTA ANITA,8
LIMA NORTE,LIMA METROPOLITANA,LIMA,CARABAYLLO,4
LIMA NORTE,LIMA METROPOLITANA,LIMA,COMAS,9
LIMA NORTE,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,7
LIMA NORTE,LIMA METROPOLITANA,LIMA,LOS OLIVOS,17
LIMA NORTE,LIMA METROPOLITANA,LIMA,PUENTE PIEDRA,4
LIMA NORTE,LIMA METROPOLITANA,LIMA,RIMAC,12
LIMA NORTE,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,22
LIMA SUR,LIMA METROPOLITANA,LIMA,BARRANCO,4
LIMA SUR,LIMA METROPOLITANA,LIMA,CHORRILLOS,13
LIMA SUR,LIMA METROPOLITANA,LIMA,LURIN,2
LIMA SUR,LIMA METROPOLITANA,LIMA,PACHACAMAC,1
LIMA SUR,LIMA METROPOLITANA,LIMA,PUCUSANA,1
LIMA SUR,LIMA METROPOLITANA,LIMA,SAN BARTOLO,1
LIMA SUR,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,4
LIMA SUR,LIMA METROPOLITANA,LIMA,SANTIAGO DE SURCO,18
LIMA SUR,LIMA METROPOLITANA,LIMA,VILLA EL SALVADOR,11
LIMA SUR,LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,11
LORETO,LORETO,MAYNAS,IQUITOS,1
PIURA,PIURA,PIURA,26 DE OCTUBRE,1
TACNA,TACNA,TACNA,TACNA,1
