Country/economies,Vaccine developer,Manufacturer,Vaccine name,Price per dose,Source
African Union,Janssen Pharmaceuticals,Janssen,Ad26.COV 2.S,10,https://www.reuters.com/article/us-health-coronavirus-j-j-vaccine/jj-in-deal-to-supply-covid-19-vaccine-to-african-union-member-states-idUSKBN2BL0QS
African Union,Pfizer/BioNTech,Pfizer/BioNTech,Comirnaty,6.75,https://www.reuters.com/article/health-coronavirus-africa-vaccine/exclusive-covid-19-shots-to-cost-3-to-10-under-african-union-vaccine-plan-idUSL1N2JU2WH
African Union,AstraZeneca,Serum Institute of India,Covishield,3,https://www.reuters.com/article/uk-health-coronavirus-africa/african-union-drops-astrazeneca-vaccine-which-covax-will-supply-idUSKBN2BV14Y
Argentina,Beijing Institute of Biological Products (CNBG),Beijing Institute of Biological Products (CNBG),BBIBP-CorV,40,https://www.batimes.com.ar/news/argentina/shipment-of-900000-sinopharm-vaccine-doses-arrives-in-argentina.phtml
Bangladesh,AstraZeneca,Serum Institute of India,Covishield,4,https://www.reuters.com/article/us-health-coronavirus-bangladesh-vaccine/exclusive-bangladeshs-beximco-could-start-private-sales-of-astrazeneca-vaccine-next-month-idUKKBN29H1YC
Bangladesh private market,AstraZeneca,Serum Institute of India,Covishield,13.27,https://www.reuters.com/article/us-health-coronavirus-bangladesh-vaccine/exclusive-bangladeshs-beximco-could-start-private-sales-of-astrazeneca-vaccine-next-month-idUKKBN29H1YC
Brazil,AstraZeneca,Fiocruz,Vaxzevria,3.16,https://portal.fiocruz.br/en/news/covid-19-vaccine-fiocruz-discloses-its-technological-order-agreement-astrazeneca
Brazil,Bharat Biotech,Bharat Biotech,Covaxin,15,https://timesofindia.indiatimes.com/india/brazil-suspends-bharat-biotechs-covaxin-order-for-20m-doses/articleshow/84003893.cms
Brazil,AstraZeneca,Serum Institute of India,Covishield,5,https://www.bio.fiocruz.br/index.php/br/noticias/2218-2-milhoes-de-doses-devem-estar-liberados-na-madrugada-desta-quarta
Brazil,Sinovac,Sinovac,Coronavac,10.3,https://www.reuters.com/article/health-coronavirus-brazil/brazil-aims-to-vaccinate-entire-population-against-covid-19-in-2021-idUSKBN28K1IK
China,Beijing Institute of Biological Products (CNBG),Beijing Institute of Biological Products (CNBG),BBIBP-CorV,29.75,https://finance.sina.com.cn/china/gncj/2020-12-26/doc-iiznctke8616594.shtml
China,Sinovac,Sinovac,Coronavac,29.75,https://www.reuters.com/article/idUSKBN2710UQ
COVAX AMC,AstraZeneca,Serum Institute of India,Covishield,3,https://www.gavi.org/news/media-room/new-collaboration-makes-further-100-million-doses-covid-19-vaccine-available-low
COVAX AMC,Novavax,Serum Institute of India,Covovax,3,https://www.gavi.org/news/media-room/new-collaboration-makes-further-100-million-doses-covid-19-vaccine-available-low
European Commission,AstraZeneca,AstraZeneca,Vaxzevria,3.5,https://www.reuters.com/article/health-coronavirus-eu-astrazeneca/eu-agreed-to-pay-870-mln-euros-for-supply-of-astrazeneca-vaccines-by-june-contract-shows-idUSL1N2KP1JR
European Commission,AstraZeneca,AstraZeneca,Vaxzevria,2.19,https://www.washingtonpost.com/world/eu-coronavirus-vaccines-cheaper-than-united-states/2020/12/18/06677e34-4139-11eb-b58b-1623f6267960_story.html
European Commission,Curevac,CureVac,CVnCoV Vaccine,11.84,https://www.reuters.com/article/healthNews/idUKKBN2800IC?edition-redirect=uk
European Commission,Janssen Pharmaceuticals,Janssen,Ad26.COV 2.S,8.5,https://www.washingtonpost.com/world/eu-coronavirus-vaccines-cheaper-than-united-states/2020/12/18/06677e34-4139-11eb-b58b-1623f6267960_story.html
European Commission,Moderna,Moderna,mRNA-1273,18,https://www.nytimes.com/2020/12/18/world/a-belgian-official-reveals-what-the-eu-will-pay-for-two-vaccines-which-is-notably-less-than-market-prices.html
European Commission,Pfizer/BioNTech,Pfizer/BioNTech,Comirnaty,14.7,https://www.nytimes.com/2020/12/18/world/a-belgian-official-reveals-what-the-eu-will-pay-for-two-vaccines-which-is-notably-less-than-market-prices.html
